id,language,prompt,domain
gpt-1,ee,Nukae nye atike si wozãna tsɔ wɔa tsi?,chemistry
gpt-2,ee,Nukae nye tsi ƒe ƒoƒo le atsiaƒu ƒe kɔkɔme?,chemistry
gpt-3,ee,Nukawoe nye nuwo ƒe nɔnɔme etɔ̃awo?,chemistry
gpt-4,ee,Nukae dzɔna ɖe tsi dzi ne efa ale gbegbe?,chemistry
gpt-5,ee,Nukae nye nuwo ƒe akpa suetɔ kekeake?,chemistry
gpt-6,ee,Gas kae míegbɔna be míanɔ agbe?,chemistry
gpt-7,ee,Nukae nye nusi me tsi trɔna zua ya le eƒe dzoxɔxɔ te?,chemistry
gpt-8,ee,Nukae nye nu suesuesue siwo wɔ atɔm ƒe nucleus?,chemistry
gpt-9,ee,Nukae nèyɔna be tsi ƒe tɔtrɔ zu nu sesẽ?,chemistry
gpt-10,ee,Nukae nye atike si wozãna tsɔ wɔa oxygen?,chemistry
gpt-11,ee,Amadede nenie le dziŋgɔli me?,physics
gpt-12,ee,Nukae nye ŋusẽ si hea nuwo yia Anyigba dzi?,physics
gpt-13,ee,Nukae nye dzɔdzɔmenu sesẽtɔ kekeake le Anyigba dzi?,physics
gpt-14,ee,Nukatae tsikpe ƒua tsi le tsi dzi?,physics
gpt-15,ee,Nukatae bɔl si le ʋuʋum le anyigba la dzudzɔa ʋuʋu mlɔeba?,physics
gpt-16,ee,Nya kae wozãna na kekeli ƒe bɔbɔ ne ele tsi alo ahuhɔ̃e me tom?,physics
gpt-17,ee,Nukatae helium-ʋuʋudedi aɖe dona le yame?,physics
gpt-18,ee,Nukatae fu dzena blewu wu agakpe ne wodae?,physics
gpt-19,ee,Nukae woyɔna na ŋusẽ makpɔmakpɔ si nana magnet hea nu aɖewo?,physics
gpt-20,ee,Nukatae míekpɔa dzikedzo hafi sea dziɖegbe le ahom sesẽ aɖe tutu me?,physics
gpt-21,ee,Nukae nye ɣletivi si te ɖe Anyigba ŋu wu?,astronomy
gpt-22,ee,Nukae nye kekeli ƒe ƒe?,astronomy
gpt-23,ee,Ɣleti nenie le Anyigba dzi?,astronomy
gpt-24,ee,Nukae nye ɣletinyigba gãtɔ kekeake le míaƒe ɣletinyigbawo dzi?,astronomy
gpt-25,ee,Nukae woyɔna be ɣletinyigbawo ƒe ƒuƒoƒo si ƒoa xlã ɣletivi?,astronomy
gpt-26,ee,Nukatae wòdze abe Ɣea le dodom le ɣedzeƒe eye wòle to ɖom le ɣetoɖoƒe ene?,astronomy
gpt-27,ee,Nukae nye do viviti?,astronomy
gpt-28,ee,Nukae nye ɣletivihatsotso?,astronomy
